No.,Time,Source,Destination,Protocol,Length
62,2023-06-02 16:05:00.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,123
63,2023-06-02 16:05:00.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
64,2023-06-02 16:05:00.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
65,2023-06-02 16:05:00.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
66,2023-06-02 16:05:00.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
67,2023-06-02 16:05:00.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,115
68,2023-06-02 16:05:00.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,115
69,2023-06-02 16:05:00.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,131
70,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,94
71,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,94
72,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,183
73,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,340
74,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,196
75,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,74
76,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,74
77,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,94
78,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,110
79,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,74
80,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
81,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,583
82,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,74
83,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
84,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,583
85,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
86,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
87,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,114
88,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
89,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,134
90,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,370
91,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
92,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
93,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,299
94,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,105
95,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
96,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
97,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,105
98,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
99,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,1424
100,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
101,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,1424
102,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
103,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,1424
104,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
105,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,604
106,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
107,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,134
108,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,352
109,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
110,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,1424
111,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
112,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,1424
113,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
114,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,1424
115,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
116,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,604
117,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
118,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,160
119,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
120,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,130
121,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,130
122,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,236
123,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,409
124,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,253
125,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,224
126,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
127,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
128,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,652
129,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,97
130,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,652
131,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,97
132,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,97
133,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,218
134,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
135,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,90
136,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
137,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
138,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,105
